Vehicle_Name;SUV;Width
Acura 3.5 RL 4dr;0;72
Acura 3.5 RL w/Navigation 4dr;0;72
Acura MDX;1;77
Acura NSX coupe 2dr manual S;0;71
Acura RSX Type S 2dr;0;68
Acura TL 4dr;0;72
Acura TSX 4dr;0;69
Audi A4 1.8T 4dr;0;70
Audi A4 3.0 4dr;0;70
Audi A4 3.0 convertible 2dr;0;70
Audi A4 3.0 Quattro 4dr auto;0;70
Audi A4 3.0 Quattro 4dr manual;0;70
Audi A4 3.0 Quattro convertible 2dr;0;70
Audi A41.8T convertible 2dr;0;70
Audi A6 2.7 Turbo Quattro 4dr;0;71
Audi A6 3.0 4dr;0;71
Audi A6 3.0 Avant Quattro;0;71
Audi A6 3.0 Quattro 4dr;0;71
Audi A6 4.2 Quattro 4dr;0;71
Audi A8 L Quattro 4dr;0;75
Audi RS 6 4dr;0;78
Audi S4 Avant Quattro;0;70
Audi S4 Quattro 4dr;0;70
Audi TT 1.8 convertible 2dr (coupe);0;73
Audi TT 1.8 Quattro 2dr (convertible);0;73
Audi TT 3.2 coupe 2dr (convertible);0;73
BMW 325Ci 2dr;0;69
BMW 325Ci convertible 2dr;0;69
BMW 325i 4dr;0;69
BMW 325xi 4dr;0;69
BMW 325xi Sport;0;69
BMW 330Ci 2dr;0;69
BMW 330Ci convertible 2dr;0;69
BMW 330i 4dr;0;69
BMW 330xi 4dr;0;69
BMW 525i 4dr;0;73
BMW 530i 4dr;0;73
BMW 545iA 4dr;0;73
BMW 745i 4dr;0;75
BMW 745Li 4dr;0;75
BMW M3 convertible 2dr;0;70
BMW M3 coupe 2dr;0;70
BMW X3 3.0i;1;73
BMW X5 4.4i;1;74
BMW Z4 convertible 2.5i 2dr;0;70
BMW Z4 convertible 3.0i 2dr;0;70
Buick Century Custom 4dr;0;73
Buick LeSabre Custom 4dr;0;74
Buick LeSabre Limited 4dr;0;74
Buick Park Avenue 4dr;0;75
Buick Park Avenue Ultra 4dr;0;75
Buick Rainier;1;75
Buick Regal GS 4dr;0;73
Buick Regal LS 4dr;0;73
Buick Rendezvous CX;1;74
Cadillac CTS VVT 4dr;0;71
Cadillac Deville 4dr;0;74
Cadillac Deville DTS 4dr;0;74
Cadillac Escalade EXT;0;*
Cadillac Escaladet;1;79
Cadillac Seville SLS 4dr;0;75
Cadillac SRX V8;1;73
Cadillac XLR convertible 2dr;0;72
Chevrolet Astro;0;78
Chevrolet Avalanche 1500;0;*
Chevrolet Aveo 4dr;0;66
Chevrolet Aveo LS 4dr hatch;0;66
Chevrolet Cavalier 2dr;0;69
Chevrolet Cavalier 4dr;0;68
Chevrolet Cavalier LS 2dr;0;69
Chevrolet Colorado Z85;0;*
Chevrolet Corvette 2dr;0;74
Chevrolet Corvette convertible 2dr;0;74
Chevrolet Impala 4dr;0;73
Chevrolet Impala LS 4dr;0;73
Chevrolet Impala SS 4dr;0;73
Chevrolet Malibu 4dr;0;70
Chevrolet Malibu LS 4dr;0;70
Chevrolet Malibu LT 4dr;0;70
Chevrolet Malibu Maxx LS;0;70
Chevrolet Monte Carlo LS 2dr;0;73
Chevrolet Monte Carlo SS 2dr;0;73
Chevrolet Silverado 1500 Regular Cab;0;*
Chevrolet Silverado SS;0;*
Chevrolet SSR;0;*
Chevrolet Suburban 1500 LT;1;79
Chevrolet Tahoe LT;1;79
Chevrolet Tracker;1;67
Chevrolet TrailBlazer LT;1;75
Chevrolet Venture LS;0;72
Chrvsler PT Cruiser GT 4dr;0;67
Chrysler 300M 4dr;0;74
Chrysler 300M Special Edition 4dr;0;74
Chrysler Concorde LX 4dr;0;74
Chrysler Concorde LXi 4dr;0;74
Chrysler Crossfire 2dr;0;70
Chrysler Pacifica;0;79
Chrysler PT Cruiser 4dr;0;67
Chrysler PT Cruiser Limited 4dr;0;67
Chrysler Sebring 4dr;0;71
Chrysler Sebring convertible 2dr;0;64
Chrysler Sebring Limited convertible 2dr;0;69
Chrysler Sebring Touring 4dr;0;71
Chrysler Town and Country Limited;0;79
Chrysler Town and Country LX;0;79
CMC Yukon 1500 SLE;1;79
Dodge Caravan SE;0;79
Dodge Dakota Club Cab;0;*
Dodge Dakota Regular Cab;0;*
Dodge Durango SLT;1;76
Dodge Grand Caravan SXT;0;79
